NAMEANDARGS(C128)	IDNUM(B4)	TYPE(C32)	DESC(C255)
GMDDELETE	906	?	Unknown
GETMLCVAL	904	?	Unknown
DELETEREF	905	?	Unknown
MATCHTRAN	907	?	Unknown
CREATESYM	908	?	Unknown
GETINIVAL	909	?	Unknown
SETINIVAL	910	?	Unknown
POLYPOINT	911	?	Unknown
VEHUPDATE	912	?	Unknown
HLTOUTPUT	913	?	Unknown
INSTALLCD	914	?	Unknown
ORTHOSIZE	915	?	Unknown
GMDCREATE	916	?	Unknown
FINDFILES	917	?	Unknown
AZMTOBEAR	918	?	Unknown
SYMDELETE	919	?	Unknown
GMDIMPORT	920	?	Unknown
LAYERNAME	921	?	Unknown
ADDUNIQUE	922	?	Unknown
TRANIMAGE	923	?	Unknown
SYMPARENT	924	?	Unknown
SEWERDATA	925	?	Unknown
CURSORLOC	926	?	Unknown
CHECKTRAN	927	?	Unknown
CHANGETAG	928	?	Unknown
LAYERPATH	929	?	Unknown
FINDFIELD	930	?	Unknown
GETPICKED	931	?	Unknown
SENDEMAIL	932	?	Unknown
URLTOFILE	933	?	Unknown
STREETNUM	934	?	Unknown
FIELDDEFS	935	?	Unknown
NEWLATLON	936	?	Unknown
INTERSECT	937	?	Unknown
MOVEPOINT	938	?	Unknown
COMBOFILE	939	?	Unknown
TCPRETURN	940	?	Unknown
NEARPOINT	941	?	Unknown
POINTLIST	942	?	Unknown
POINTINVP	943	?	Unknown
BLOCKTEXT	944	?	Unknown
LINKLINES	945	?	Unknown
CLEARFILE	946	?	Unknown
DECOMPPOLY	1001	?	Unknown
DELETEFILE	1002	?	Unknown
STREETNAME	1003	?	Unknown
BOUNDPOINT	1004	?	Unknown
PRINTSETUP	1005	?	Unknown
SAVESTATUS	1006	?	Unknown
UPDATETIME	1007	?	Unknown
REGISTERCD	1008	?	Unknown
PRINTMERGE	1009	?	Unknown
VEHICLEDEF	1010	?	Unknown
SETSYMDESC	1011	?	Unknown
INSERTLINE	1012	?	Unknown
CROSSMATCH	1013	?	Unknown
AREAINAREA	1014	?	Unknown
CREATEFILE	1015	?	Unknown
WINTOWORLD	1016	?	Unknown
WORLDTOWIN	1017	?	Unknown
ADJUSTPOLY	1018	?	Unknown
TABTOCOMMA	1019	?	Unknown
SELECTICON	1020	?	Unknown
MOVECURSOR	1021	?	Unknown
CURSORINVP	1022	?	Unknown
IDPOLYGONS	1023	?	Unknown
FULLSCREEN	1024	?	Unknown
REFCONNECT	1025	?	Unknown
SCREENTOVP	1026	?	Unknown
AREACENTER	1027	?	Unknown
SERVERFILE	1028	?	Unknown
SPLITLINES	1029	?	Unknown
INVERTRECT	1030	?	Unknown
SETMAPTIME	1031	?	Unknown
GETMAPTIME	1032	?	Unknown
CHECKPOINT	1033	?	Unknown
PCTINAREAS	1034	?	Unknown
PROJECTION	1035	?	Unknown
BACKGROUND	1036	?	Unknown
DUMPGLOBALS	1101	?	Unknown
LAYERBOUNDS	1102	?	Unknown
FIXGMERRORS	1103	?	Unknown
ADDWAYPOINT	1104	?	Unknown
COMPILETRAN	1105	?	Unknown
GPSADDPOINT	1106	?	Unknown
UPDATEGRCMD	1107	?	Unknown
RUNTEXTFILE	1108	?	Unknown
GETTRANDATA	1109	?	Unknown
GETNEXTLINE	1110	?	Unknown
SELECTITEMS	1111	?	Unknown
GPSTRACKING	1112	?	Unknown
FONTDISPLAY	1113	?	Unknown
WETLANDDESC	1114	?	Unknown
GPSADDROUTE	1115	?	Unknown
BLOCKEDREFS	1116	?	Unknown
LOADNEWDATA	1117	?	Unknown
THEMEINAREA	1118	?	Unknown
SETREDEFINE	1119	?	Unknown
GROUPPOINTS	1120	?	Unknown
GETTEMPFILE	1121	?	Unknown
GMDADDINDEX	1122	?	Unknown
ADDFALSEINT	1123	?	Unknown
DUMPDGNSYMS	1124	?	Unknown
SCREENCACHE	1125	?	Unknown
VIRTUALPLOT	1126	?	Unknown
GMDADDFIELD	1127	?	Unknown
GMDCOPYFILE	1128	?	Unknown
TAGREFINDEX	1129	?	Unknown
INSERTLINES	1130	?	Unknown
ROTATEIMAGE	1131	?	Unknown
SYMATTRFILE	1132	?	Unknown
POINTINAREA	1133	?	Unknown
SCREENCOLOR	1134	?	Unknown
INTERTWINED	1135	?	Unknown
INTERLEAVED	1135	?	Unknown
STRINGTONUM	1136	?	Unknown
FINDWAYPOINT	1201	?	Unknown
SETDATERANGE	1202	?	Unknown
LOADUMSYMDEF	1203	?	Unknown
MAKEQUANFILE	1204	?	Unknown
USEDREFTABLE	1205	?	Unknown
ADDRECTANGLE	1206	?	Unknown
UPDATEGLOBAL	1207	?	Unknown
CHANGESYMBOL	1208	?	Unknown
ORATABLENAME	1209	?	Unknown
LONGPATHNAME	1210	?	Unknown
HOTSPOTVALUE	1211	?	Unknown
TRANSFERFILE	1212	?	Unknown
NAMESPLITTER	1213	?	Unknown
CONVERTIMAGE	1214	?	Unknown
POLYPROBLEMS	1215	?	Unknown
AREASTOLINES	1216	?	Unknown
PCTINHLTAREA	1217	?	Unknown
COMPAREFILES	1218	?	Unknown
SETSYMPARENT	1219	?	Unknown
SAVECONTOURS	1220	?	Unknown
THINCONTOURS	1221	?	Unknown
TRANSPARENCY	1222	?	Unknown
SQLFIELDTYPE	1223	?	Unknown
GMDFIELDTYPE	1224	?	Unknown
INSERTFORMAT	1225	?	Unknown
DISPLAYCONFIG	1301	?	Unknown
NUMNONCONTROL	1302	?	Unknown
SPORTMAPORDER	1303	?	Unknown
ZOOMLISTBUILD	1304	?	Unknown
SPLITXFERFILE	1305	?	Unknown
SELECTDBITEMS	1306	?	Unknown
CREATESF3FILE	1307	?	Unknown
CREATESF1FILE	1308	?	Unknown
SHORTPATHNAME	1309	?	Unknown
PROCESSSTATUS	1310	?	Unknown
LINESTOPOINTS	1311	?	Unknown
PARENTSYMBOLS	1312	?	Unknown
SETTEXTGLOBALS	1401	?	Unknown
LOADSSURGOCOMP	1402	?	Unknown
SETDESTINATION	1403	?	Unknown
SELECTFONTNAME	1404	?	Unknown
BOUNDSTOPOINTS	1405	?	Unknown
SPLITMRSIDFILE	1406	?	Unknown
FINDDUPLICATES	1407	?	Unknown
FILTERTEXTFILE	1408	?	Unknown
RECOVERPLTFILE	1409	?	Unknown
STRINGFROMFILE	1410	?	Unknown
GLOBALFROMFILE	1411	?	Unknown
OPENVEHICLEFILE	1501	?	Unknown
REMOVELINKLINES	1502	?	Unknown
GETADDRESSCOORD	1503	?	Unknown
TEXTTOCLIPBOARD	1504	?	Unknown
ADDRESSLOCATION	1505	?	Unknown
CREATEWORDINDEX	1506	?	Unknown
GETMAXFILEREFNO	1507	?	Unknown
DELETEDIRECTORY	1508	?	Unknown
CREATESPORTMAPCD	1601	?	Unknown
ADDISLANDSTOPOLY	1602	?	Unknown
POINTSBETWEENMPS	1603	?	Unknown
POINTSBETWEENPCT	1604	?	Unknown
FILLRECTWITHGRID	1605	?	Unknown
APPENDFILETOFILE	1606	?	Unknown
RECOVERPLTFROMRIN	1701	?	Unknown
SCREENTOCLIPBOARD	1702	?	Unknown
PROFILEAREAPOINTS	1703	?	Unknown
SPLITCONTOURLINES	1704	?	Unknown
TEXTFROMCLIPBOARD	1705	?	Unknown
LOADBLOCKINGPOINTS	1801	?	Unknown
NEWELEMENTSETTINGS	1802	?	Unknown
ADJOININGAREASFILE	1803	?	Unknown
GETNEARESTINTCOORD	1804	?	Unknown
CONVERTTEXTPOINTERS	1901	?	Unknown
GETINTERSECTIONCOORD	2001	?	Unknown
ADDCONTOURSPLITLINES	2002	?	Unknown
JOINLINESBETWEENPOINTS	2201	?	Unknown
GETSTREETSEGSBETWEENPOINTS	2601	?	Unknown
