MatchCode,"Street","House","City","OriginalFileKey"
0,"POLK ST","3114","MINNEAPOLIS","7722.1"
0,"UPTON AVE N","921","MINNEAPOLIS","7749.2"
0,"VINCENT AVE N","2504","MINNEAPOLIS","7762.1"
0,"VINCENT AVE N","2734","MINNEAPOLIS","7764.4"
0,"UPTON AVE N","3923","MINNEAPOLIS","7774.2"
0,"UPTON AVE N","4249","MINNEAPOLIS","7778.6"
0,"VINCENT AVE N","317","MINNEAPOLIS","7809.1"
0,"VINCENT AVE N","1303","MINNEAPOLIS","7813.1"
0,"GOLDEN VAL RD","2801","MINNEAPOLIS","7817.1"
0,"GOLDEN VAL RD","2805","MINNEAPOLIS","7817.2"
0,"GOLDEN VAL RD","2811","MINNEAPOLIS","7817.3"
0,"WASHBURN AVE N","3301","MINNEAPOLIS","7821.4"
0,"WASHBURN AVE N","4914","MINNEAPOLIS","7834.3"
0,"CECIL ST","148","MINNEAPOLIS","7854.3"
0,"WASHBURN AVE N","3611","MINNEAPOLIS","7868.2"
0,"WASHBURN AVE S","5155","MINNEAPOLIS","7890.1"
0,"WASHINGTON AVE S","5756","MINNEAPOLIS","7894.1"
0,"WENTWORTH AVE","5756","MINNEAPOLIS","7930.10"
0,"LAKEVIEW AVE","1213","MINNEAPOLIS","7942.1"
0,"YORK AVE S","3210","MINNEAPOLIS","7953.1"
0,"1ST AVE S","3201","MINNEAPOLIS","7974.1"
0,"STEVENS AVE","3856","MINNEAPOLIS","7981.3"
0,"STEVENS AVE","3900","MINNEAPOLIS","7982.1"
0,"STEVENS AVE","3910","MINNEAPOLIS","7982.2"
0,"61ST St E","115","MINNEAPOLIS","7996.1"
0,"MINNEHAHA PKWY W","4905","MINNEAPOLIS","8"
0,"12TH AVE S","5513","MINNEAPOLIS","8403.4"
0,"4TH St N","3238","MINNEAPOLIS","8114.1"
0,"4TH St N","314","MINNEAPOLIS","8118.1"
0,"5TH AVE S","3106","MINNEAPOLIS","8141.3"
0,"5TH AVE S","4154","MINNEAPOLIS","8152.5"
0,"48TH St E","409","MINNEAPOLIS","8158.2"
0,"5TH AVE S","6048","MINNEAPOLIS","8160.1"
0,"PORTLAND AVE","2910","MINNEAPOLIS","8206.2"
0,"PORTLAND AVE","3615","MINNEAPOLIS","8213.1"
0,"48TH ST E","516","MINNEAPOLIS","8224.1"
0,"5TH St SE","512","MINNEAPOLIS","8238.2"
0,"10TH AVE S","4932","MINNEAPOLIS","8322.3"
0,"15TH AVE S","5446","MINNEAPOLIS","8472.1"
0,"24TH St E","1508","MINNEAPOLIS","8480.1"
0,"BLOOMINGTON AVE","3244","MINNEAPOLIS","8489.3"
0,"17TH AVE S","3435","MINNEAPOLIS","8557.1"
0,"CEDAR AVE","4013","MINNEAPOLIS","8592.4"
0,"20TH AVE S","4006","MINNEAPOLIS","8615.2"
0,"20TH AVE S","4054","MINNEAPOLIS","8615.8"
0,"34TH ST E","2214","MINNEAPOLIS","8627.7"
0,"21ST AVE S","4146","MINNEAPOLIS","8634.6"
0,"20TH AVE S","5621","MINNEAPOLIS","8636.1"
0,"23RD AVE S","2220","MINNEAPOLIS","8661.1"
0,"35TH ST E","2211","MINNEAPOLIS","8670.1"
0,"36 1/2 ST E","2328","MINNEAPOLIS","8693.2"
0,"36 1/2 ST E","2332","MINNEAPOLIS","8693.3"
0,"24TH AVE S","4119","MINNEAPOLIS","8699.2"
0,"23RD AVE S","5501","MINNEAPOLIS","8702.1"
0,"24TH AVE S","3335","MINNEAPOLIS","8713.3"
0,"26TH AVE S","2648","MINNEAPOLIS","8762.1"
0,"29TH AVE S","5355","MINNEAPOLIS","8876.2"
0,"30TH AVE S","4717","MINNEAPOLIS","8889.1"
0,"24TH AVE S","3230","MINNEAPOLIS","8932.1"
0,"32ND AVE S","2413","MINNEAPOLIS","8933.1"
0,"35TH AVE S","3720","MINNEAPOLIS","8991.2"
0,"35TH AVE S","5326","MINNEAPOLIS","8997.3"
0,"NEWTON AVE N","3919","MINNEAPOLIS","9"
0,"38TH ST E","3619","MINNEAPOLIS","9034.5"
0,"38TH ST E","3619","MINNEAPOLIS","9034.6"
0,"36TH AVE S","3917","MINNEAPOLIS","9035.2"
0,"MINNEHAHA AVE","4049","MINNEAPOLIS","9036.11"
0,"37TH AVE S","3947","MINNEAPOLIS","9057.6"
0,"38TH AVE S","4022","MINNEAPOLIS","9058.14"
0,"37TH AVE S","4035","MINNEAPOLIS","9058.4"
0,"40TH AVE S","4235","MINNEAPOLIS","9134.2"
0,"41ST AVE S","3255","MINNEAPOLIS","9147.2"
0,"42ND AVE S","3753","MINNEAPOLIS","9176.1"
0,"44TH AVE S","3145","MINNEAPOLIS","9221.2"
0,"45TH AVE S","3355","MINNEAPOLIS","9249.1"
0,"JAMES AVE N","2213","MINNEAPOLIS","9572.11"
0,"HILLSIDE AVE","1814","MINNEAPOLIS","9573.1"
0,"SHERIDAN AVE S","1932","MINNEAPOLIS","9590.2"
0,"SHERIDAN AVE S","1936","MINNEAPOLIS","9590.3"
0,"46TH AVE S","4222","MINNEAPOLIS","9259.6"
0,"46TH ST E","4552","MINNEAPOLIS","9262.5"
0,"47TH AVE S","3656","MINNEAPOLIS","9284.2"
0,"47TH AVE S","3737","MINNEAPOLIS","9293.3"
0,"47TH AVE S","3745","MINNEAPOLIS","9293.4"
0,"48TH AVE S","3748","MINNEAPOLIS","9293.5"
0,"44TH AVE N","1612","MINNEAPOLIS","9326.1"
0,"LAKE OF THE ISLES PKWY","2801","MINNEAPOLIS","9328.10"
0,"LAKE OF THE ISLES PKWY","2821","MINNEAPOLIS","9328.11"
0,"LAKE OF THE ISLES PK","2825","MINNEAPOLIS","9328.9"
0,"ABBOTT AVE S","4957","MINNEAPOLIS","9419.7"
0,"UNIVERSITY AVE NE","2636","MINNEAPOLIS","9441.1"
